Date,Value,Value_Classification,BTC_Closing,BTC_Volume
01/02/2018,30,Fear,9170.540039,9959400448
02/02/2018,15,Extreme Fear,8830.75,12726899712
03/02/2018,40,Fear,9174.910156,7263790080
04/02/2018,24,Extreme Fear,8277.009766,7073549824
05/02/2018,11,Extreme Fear,6955.27002,9285289984
06/02/2018,8,Extreme Fear,7754,13999800320
07/02/2018,36,Fear,7621.299805,9169280000
08/02/2018,30,Fear,8265.589844,9346750464
09/02/2018,44,Fear,8736.980469,6784820224
10/02/2018,54,Neutral,8621.900391,7780960256
11/02/2018,31,Fear,8129.970215,6122189824
12/02/2018,42,Fear,8926.570313,6256439808
13/02/2018,35,Fear,8598.30957,5696719872
14/02/2018,55,Greed,9494.629883,7909819904
15/02/2018,71,Greed,10166.40039,9062540288
16/02/2018,67,Greed,10233.90039,7296159744
17/02/2018,74,Greed,11112.7002,8660880384
18/02/2018,63,Greed,10551.7998,8744009728
19/02/2018,67,Greed,11225.2998,7652089856
20/02/2018,74,Greed,11403.7002,9926540288
21/02/2018,54,Neutral,10690.40039,9405339648
22/02/2018,44,Fear,10005,8040079872
23/02/2018,39,Fear,10301.09961,7739500032
24/02/2018,31,Fear,9813.070313,6917929984
25/02/2018,33,Fear,9664.730469,5706939904
26/02/2018,37,Fear,10366.7002,7287690240
27/02/2018,44,Fear,10725.59961,6966179840
28/02/2018,41,Fear,10397.90039,6936189952
01/03/2018,38,Fear,10951,7317279744
02/03/2018,47,Neutral,11086.40039,7620590080
03/03/2018,56,Greed,11489.7002,6690570240
04/03/2018,44,Fear,11512.59961,6084149760
05/03/2018,55,Greed,11573.2998,6468539904
06/03/2018,59,Greed,10779.90039,6832169984
07/03/2018,37,Fear,9965.570313,8797910016
08/03/2018,39,Fear,9395.009766,7186089984
09/03/2018,37,Fear,9337.549805,8704190464
10/03/2018,39,Fear,8866,5386319872
11/03/2018,40,Fear,9578.629883,6296370176
12/03/2018,41,Fear,9205.120117,6457399808
13/03/2018,41,Fear,9194.849609,5991139840
14/03/2018,40,Fear,8269.80957,6438230016
15/03/2018,32,Fear,8300.860352,6834429952
16/03/2018,33,Fear,8338.349609,5289379840
17/03/2018,31,Fear,7916.879883,4426149888
18/03/2018,29,Fear,8223.679688,6639190016
19/03/2018,29,Fear,8630.650391,6729110016
20/03/2018,37,Fear,8913.469727,6361789952
21/03/2018,36,Fear,8929.280273,6043129856
22/03/2018,36,Fear,8728.469727,5530390016
23/03/2018,28,Fear,8879.620117,5954120192
24/03/2018,32,Fear,8668.120117,5664600064
25/03/2018,30,Fear,8495.780273,4569880064
26/03/2018,31,Fear,8209.400391,5921039872
27/03/2018,24,Extreme Fear,7833.040039,5378250240
28/03/2018,24,Extreme Fear,7954.47998,4935289856
29/03/2018,18,Extreme Fear,7165.700195,6361229824
30/03/2018,12,Extreme Fear,6890.52002,6289509888
31/03/2018,16,Extreme Fear,6973.529785,4553269760
01/04/2018,16,Extreme Fear,6844.22998,4532100096
02/04/2018,11,Extreme Fear,7083.799805,4333440000
03/04/2018,22,Extreme Fear,7456.109863,5499700224
04/04/2018,22,Extreme Fear,6853.839844,4936000000
05/04/2018,17,Extreme Fear,6811.470215,5639320064
06/04/2018,19,Extreme Fear,6636.319824,3766810112
07/04/2018,20,Extreme Fear,6911.089844,3976610048
08/04/2018,17,Extreme Fear,7023.52002,3652499968
09/04/2018,21,Extreme Fear,6770.72998,4894060032
10/04/2018,18,Extreme Fear,6834.759766,4272750080
11/04/2018,20,Extreme Fear,6968.319824,4641889792
12/04/2018,18,Extreme Fear,7889.25,8906250240
13/04/2018,23,Extreme Fear,7895.959961,7764460032
14/04/2018,,,7986.240234,5191430144
15/04/2018,,,8329.110352,5244480000
16/04/2018,,,8058.669922,5631309824
17/04/2018,26,Fear,7902.089844,6900879872
18/04/2018,24,Extreme Fear,8163.419922,6529909760
19/04/2018,25,Extreme Fear,8294.30957,7063209984
20/04/2018,26,Fear,8845.830078,8438110208
21/04/2018,32,Fear,8895.580078,7548550144
22/04/2018,31,Fear,8802.459961,6629899776
23/04/2018,28,Fear,8930.879883,6925190144
24/04/2018,29,Fear,9697.5,10678800384
25/04/2018,64,Greed,8845.740234,11083100160
26/04/2018,47,Neutral,9281.509766,8970559488
27/04/2018,55,Greed,8987.049805,7566289920
28/04/2018,54,Neutral,9348.480469,7805479936
29/04/2018,61,Greed,9419.080078,8853000192
30/04/2018,59,Greed,9240.549805,8673920000
01/05/2018,56,Greed,9119.009766,7713019904
02/05/2018,52,Neutral,9235.919922,7558159872
03/05/2018,55,Greed,9743.860352,10207299584
04/05/2018,56,Greed,9700.759766,8217829888
05/05/2018,63,Greed,9858.150391,7651939840
06/05/2018,67,Greed,9654.799805,7222280192
07/05/2018,56,Greed,9373.009766,7394019840
08/05/2018,62,Greed,9234.820313,7415869952
09/05/2018,53,Neutral,9325.179688,7226890240
10/05/2018,63,Greed,9043.94043,6906699776
11/05/2018,41,Fear,8441.490234,8488520192
12/05/2018,44,Fear,8504.889648,6821380096
13/05/2018,40,Fear,8723.94043,5866379776
14/05/2018,40,Fear,8716.790039,7364149760
15/05/2018,40,Fear,8510.379883,6705710080
16/05/2018,32,Fear,8368.830078,6760220160
17/05/2018,31,Fear,8094.319824,5862530048
18/05/2018,37,Fear,8250.969727,5764190208
19/05/2018,31,Fear,8247.179688,4712399872
20/05/2018,32,Fear,8513.25,5191059968
21/05/2018,41,Fear,8418.990234,5154990080
22/05/2018,30,Fear,8041.779785,5137010176
23/05/2018,26,Fear,7557.819824,6491120128
24/05/2018,27,Fear,7587.339844,6049220096
25/05/2018,25,Extreme Fear,7480.140137,4867829760
26/05/2018,23,Extreme Fear,7355.879883,4051539968
27/05/2018,19,Extreme Fear,7368.220215,4056519936
28/05/2018,22,Extreme Fear,7135.990234,5040600064
29/05/2018,16,Extreme Fear,7472.589844,5662660096
30/05/2018,38,Fear,7406.52002,4922540032
31/05/2018,25,Extreme Fear,7494.169922,5127130112
01/06/2018,24,Extreme Fear,7541.450195,4921460224
02/06/2018,27,Fear,7643.450195,4939299840
03/06/2018,40,Fear,7720.25,4851760128
04/06/2018,41,Fear,7514.470215,4993169920
05/06/2018,26,Fear,7633.759766,4961739776
06/06/2018,42,Fear,7653.97998,4692259840
07/06/2018,38,Fear,7678.240234,4485799936
08/06/2018,40,Fear,7624.919922,4227579904
09/06/2018,39,Fear,7531.97998,3845220096
10/06/2018,24,Extreme Fear,6786.02002,5804839936
11/06/2018,15,Extreme Fear,6906.919922,4745269760
12/06/2018,19,Extreme Fear,6582.359863,4654380032
13/06/2018,19,Extreme Fear,6349.899902,5052349952
14/06/2018,17,Extreme Fear,6675.350098,5138710016
15/06/2018,26,Fear,6456.580078,3955389952
16/06/2018,22,Extreme Fear,6550.160156,3194170112
17/06/2018,23,Extreme Fear,6499.27002,3104019968
18/06/2018,27,Fear,6734.819824,4039200000
19/06/2018,32,Fear,6769.939941,4057029888
20/06/2018,34,Fear,6776.549805,3888640000
21/06/2018,37,Fear,6729.740234,3529129984
22/06/2018,28,Fear,6083.689941,5079810048
23/06/2018,17,Extreme Fear,6162.47998,3431360000
24/06/2018,15,Extreme Fear,6173.22998,4566909952
25/06/2018,16,Extreme Fear,6249.180176,5500810240
26/06/2018,21,Extreme Fear,6093.669922,3279759872
27/06/2018,18,Extreme Fear,6157.129883,3296219904
28/06/2018,20,Extreme Fear,5903.439941,3467800064
29/06/2018,16,Extreme Fear,6218.299805,3966230016
30/06/2018,22,Extreme Fear,6404,4543860224
01/07/2018,27,Fear,6385.819824,4788259840
02/07/2018,27,Fear,6614.180176,4396930048
03/07/2018,31,Fear,6529.589844,4672309760
04/07/2018,33,Fear,6597.549805,4176689920
05/07/2018,37,Fear,6639.140137,4999240192
06/07/2018,34,Fear,6673.5,4313959936
07/07/2018,34,Fear,6856.930176,3961080064
08/07/2018,38,Fear,6773.879883,3386210048
09/07/2018,39,Fear,6741.75,3718129920
10/07/2018,37,Fear,6329.950195,4052430080
11/07/2018,29,Fear,6394.709961,3644859904
12/07/2018,33,Fear,6228.810059,3770170112
13/07/2018,29,Fear,6238.049805,3805400064
14/07/2018,29,Fear,6276.120117,2923670016
15/07/2018,32,Fear,6359.640137,3285459968
16/07/2018,36,Fear,6741.75,4725799936
17/07/2018,39,Fear,7321.040039,5961950208
18/07/2018,42,Fear,7370.779785,6103410176
19/07/2018,44,Fear,7466.859863,5111629824
20/07/2018,47,Neutral,7354.129883,4936869888
21/07/2018,43,Fear,7419.290039,3726609920
22/07/2018,46,Fear,7418.490234,3695460096
23/07/2018,44,Fear,7711.109863,5132480000
24/07/2018,49,Neutral,8424.269531,7277689856
25/07/2018,54,Neutral,8181.390137,5845400064
26/07/2018,53,Neutral,7951.580078,4899089920
27/07/2018,47,Neutral,8165.009766,5195879936
28/07/2018,54,Neutral,8192.150391,3988750080
29/07/2018,54,Neutral,8218.459961,4107190016
30/07/2018,53,Neutral,8180.47998,5551400000
31/07/2018,48,Neutral,7780.439941,5287530000
01/08/2018,39,Fear,7624.910156,4797620000
02/08/2018,39,Fear,7567.149902,4214110000
03/08/2018,36,Fear,7434.390137,4627150000
04/08/2018,31,Fear,7032.850098,4268390000
05/08/2018,23,Extreme Fear,7068.47998,3679110000
06/08/2018,25,Extreme Fear,6951.799805,3925900000
07/08/2018,25,Extreme Fear,6753.120117,4682800000
08/08/2018,23,Extreme Fear,6305.799805,5064430000
09/08/2018,19,Extreme Fear,6568.22998,4267040000
10/08/2018,21,Extreme Fear,6184.709961,4528680000
11/08/2018,18,Extreme Fear,6295.72998,4047850000
12/08/2018,18,Extreme Fear,6322.689941,5665250000
13/08/2018,21,Extreme Fear,6297.569824,4083980000
14/08/2018,16,Extreme Fear,6199.709961,5301700000
15/08/2018,18,Extreme Fear,6308.52002,4895450000
16/08/2018,21,Extreme Fear,6334.72998,4328420000
17/08/2018,19,Extreme Fear,6580.629883,4992990000
18/08/2018,24,Extreme Fear,6423.759766,3984520000
19/08/2018,27,Fear,6506.069824,3311170000
20/08/2018,26,Fear,6308.529785,3665100000
21/08/2018,19,Extreme Fear,6488.759766,3377180000
22/08/2018,21,Extreme Fear,6376.709961,4668110000
23/08/2018,18,Extreme Fear,6534.879883,3426180000
24/08/2018,19,Extreme Fear,6719.959961,4097820000
25/08/2018,22,Extreme Fear,6763.189941,3312600000
26/08/2018,19,Extreme Fear,6707.259766,3295500000
27/08/2018,18,Extreme Fear,6884.640137,4019000000
28/08/2018,19,Extreme Fear,7096.279785,4659940000
29/08/2018,19,Extreme Fear,7047.160156,4145880000
30/08/2018,22,Extreme Fear,6978.22998,4463250000
